Year,Perfume Name,Brand,Link
2024,Le Beau Paradise Garden,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Paradise-Garden-88836.html
2024,Black Opium Over Red,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-Over-Red-88707.html
2024,Eclaire,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Eclaire-93628.html
2024,Tilia,Marc-Antoine Barrois,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/Tilia-91688.html
2024,Vanilla Candy Rock Sugar | 42,Kayali Fragrances,https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-Candy-Rock-Sugar-42-92258.html
2024,Teriaq,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Teriaq-89850.html
2024,Narcotic Delight,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Narcotic-Delight-89368.html
2024,Cheirosa '59,Sol de Janeiro,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Cheirosa-59-88722.html
2024,Perseus,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Perseus-90199.html
2024,Valentino Uomo Born in Roma Green Stravaganza,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-in-Roma-Green-Stravaganza-88989.html
2024,Valentino Donna Born in Roma Green Stravaganza,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Donna-Born-in-Roma-Green-Stravaganza-88988.html
2024,Eros Energy,Versace,https://www.fragrantica.com/perfume/Versace/Eros-Energy-92647.html
2024,Asad Zanzibar,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-Zanzibar-90713.html
2024,Scandal Pour Homme Absolu,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-Absolu-91053.html
2024,Invictus Parfum,Rabanne,https://www.fragrantica.com/perfume/Rabanne/Invictus-Parfum-90433.html
2024,Miss Dior Parfum (2024),Dior,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Parfum-2024-89584.html
2024,Flowerbomb Tiger Lily,Viktor&Rolf,https://www.fragrantica.com/perfume/Viktor-Rolf/Flowerbomb-Tiger-Lily-88986.html
2024,Love Delight,Amouage,https://www.fragrantica.com/perfume/Amouage/Love-Delight-89959.html
2024,Penguin,Zoologist Perfumes,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Penguin-88917.html
2024,Juliette,Juliette Has A Gun,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Juliette-90396.html
2024,Flora Gorgeous Orchid,Gucci,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Orchid-94979.html
2024,Boss The Scent Elixir For Him,Hugo Boss,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-The-Scent-Elixir-For-Him-88879.html
2024,Rabbit,Zoologist Perfumes,https://www.fragrantica.com/perfume/Zoologist-Perfumes/Rabbit-91167.html
2024,Afternoon Delight,Maison Martin Margiela,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Afternoon-Delight-95923.html
2024,Daisy Wild,Marc Jacobs,https://www.fragrantica.com/perfume/Marc-Jacobs/Daisy-Wild-89906.html
2024,Y Elixir,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Elixir-90024.html
2024,Atlas,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Atlas-89765.html
2024,Comète,Chanel,https://www.fragrantica.com/perfume/Chanel/Comete-90434.html
2024,Good Girl Blush Elixir Eau de Parfum,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-Blush-Elixir-Eau-de-Parfum-88937.html
2024,Alien Hypersense,Mugler,https://www.fragrantica.com/perfume/Mugler/Alien-Hypersense-89599.html
2024,For Her Musc Nude,Narciso Rodriguez,https://www.fragrantica.com/perfume/Narciso-Rodriguez/For-Her-Musc-Nude-88936.html
2024,Tubéreuse Astrale,Maison Crivelli,https://www.fragrantica.com/perfume/Maison-Crivelli/Tubereuse-Astrale-90733.html
2024,Nomade Nuit d’Egypte,Chloé,https://www.fragrantica.com/perfume/Chloe/Nomade-Nuit-d-Egypte-89372.html
2024,The Most Wanted Intense,Azzaro,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Intense-90953.html
2024,Quattro Pizzi,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Quattro-Pizzi-91640.html
2024,Al Nashama Caprice,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Nashama-Caprice-89764.html
2024,La Belle Paradise Garden,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-Paradise-Garden-88873.html
2024,My Way Nectar,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/My-Way-Nectar-88938.html
2024,Acqua di Giò Profondo Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Parfum-90451.html
2024,H24 Herbes Vives,Hermès,https://www.fragrantica.com/perfume/Hermes/H24-Herbes-Vives-89146.html
2024,La Vie est Belle L'Elixir,Lancôme,https://www.fragrantica.com/perfume/Lancome/La-Vie-est-Belle-L-Elixir-95856.html
2024,Wavechild,Room 1015,https://www.fragrantica.com/perfume/Room-1015/Wavechild-91364.html
2024,Cosmic Kylie Jenner,Kylie Cosmetics,https://www.fragrantica.com/perfume/Kylie-Cosmetics/Cosmic-Kylie-Jenner-90957.html
2024,Gentleman Society Eau de Parfum Extrême,Givenchy,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Society-Eau-de-Parfum-Extreme-89933.html
2024,Pear Gelato,Theodoros Kalotinis,https://www.fragrantica.com/perfume/Theodoros-Kalotinis/Pear-Gelato-92249.html
2024,Queen of Silk,Creed,https://www.fragrantica.com/perfume/Creed/Queen-of-Silk-89643.html
2024,L'Homme Ideal Parfum,Guerlain,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Parfum-90803.html
2024,Le Male Lover,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Lover-89720.html
2024,Angel Fantasm,Mugler,https://www.fragrantica.com/perfume/Mugler/Angel-Fantasm-91916.html
2024,Devotion Intense,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Intense-96028.html
2024,MYSLF Le Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/MYSLF-Le-Parfum-94983.html
2024,Yara Candy,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-Candy-95752.html
2024,Strawberry Letter,Phlur,https://www.fragrantica.com/perfume/Phlur/Strawberry-Letter-89909.html
2024,Polo 67,Ralph Lauren,https://www.fragrantica.com/perfume/Ralph-Lauren/Polo-67-90347.html
2024,Blue Madeleine,Atelier des Ors,https://www.fragrantica.com/perfume/Atelier-des-Ors/Blue-Madeleine-92071.html
2024,Sunkissed Goddess,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Sunkissed-Goddess-90336.html
2024,312 Saint-Honoré,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/312-Saint-Honore-89642.html
2024,Sun-gria,Lorenzo Pazzaglia,https://www.fragrantica.com/perfume/Lorenzo-Pazzaglia/Sun-gria-90748.html
2024,L'eau de Parfum,Cirque du Soleil,https://www.fragrantica.com/perfume/Cirque-du-Soleil/L-eau-de-Parfum-92656.html
2024,Habit Rouge Parfum,Guerlain,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Parfum-90802.html
2024,Acne Studios,Frederic Malle,https://www.fragrantica.com/perfume/Frederic-Malle/Acne-Studios-91209.html
2024,Emporio Armani Stronger With You Tobacco,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Tobacco-90333.html
2024,Guidance 46,Amouage,https://www.fragrantica.com/perfume/Amouage/Guidance-46-94033.html
2024,La Vie Est Belle Rose Extraordinaire,Lancôme,https://www.fragrantica.com/perfume/Lancome/La-Vie-Est-Belle-Rose-Extraordinaire-89903.html
2024,Affection,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Affection-92183.html
2024,Born to be Unforgettable,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Born-to-be-Unforgettable-89141.html
2024,Club de Nuit Precieux,Armaf,https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Precieux-93272.html
2024,Sauvage Eau Forte,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Eau-Forte-95863.html
2024,Scandal Absolu,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Absolu-91052.html
2024,Bad Boy Cobalt Elixir,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Bad-Boy-Cobalt-Elixir-89374.html
2024,Mayar Natural Intense,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Mayar-Natural-Intense-89759.html
2024,Creme Brûlée,Theodoros Kalotinis,https://www.fragrantica.com/perfume/Theodoros-Kalotinis/Creme-Brulee-92255.html
2024,Sirène,Fragrance Du Bois,https://www.fragrantica.com/perfume/Fragrance-Du-Bois/Sirene-91166.html
2024,Liquid Brun,Fragrance World,https://www.fragrantica.com/perfume/Fragrance-World/Liquid-Brun-94713.html
2024,Luna Rossa Ocean Le Parfum,Prada,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Ocean-Le-Parfum-91693.html
2024,Vanille Fatale (2024),Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Vanille-Fatale-2024-88659.html
2024,Libre Flowers & Flames,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Flowers-Flames-95623.html
2024,Palatine,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Palatine-96023.html
2024,Eau d'Ombré Leather,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Eau-d-Ombre-Leather-95389.html
2024,Sehr,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Sehr-94967.html
2024,Le Sel d’Issey,Issey Miyake,https://www.fragrantica.com/perfume/Issey-Miyake/Le-Sel-d-Issey-95642.html
2024,Goddess Intense,Burberry,https://www.fragrantica.com/perfume/Burberry/Goddess-Intense-95883.html
2024,Barénia,Hermès,https://www.fragrantica.com/perfume/Hermes/Barenia-96428.html
2024,Spicebomb Dark Leather,Viktor&Rolf,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Dark-Leather-93116.html
2024,Mystique Bouquet,Afnan,https://www.fragrantica.com/perfume/Afnan/Mystique-Bouquet-92434.html
2024,Mango Aoud,Gritti,https://www.fragrantica.com/perfume/Gritti/Mango-Aoud-86927.html
2024,La Nuit Trésor Le Parfum,Lancôme,https://www.fragrantica.com/perfume/Lancome/La-Nuit-Tresor-Le-Parfum-89120.html
2024,Allure Homme Sport Superleggera,Chanel,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-Superleggera-95753.html
2024,You Rêve,Glossier,https://www.fragrantica.com/perfume/Glossier/You-Reve-97604.html
2024,Angham,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Angham-96768.html
2024,Old Fashioned,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Old-Fashioned-96096.html
2024,Äican,Kajal,https://www.fragrantica.com/perfume/Kajal/AEican-91276.html
2024,Vanilla Vice,Snif,https://www.fragrantica.com/perfume/Snif/Vanilla-Vice-89333.html
2024,Peach's Revenge,Sarah Baker Perfumes,https://www.fragrantica.com/perfume/Sarah-Baker-Perfumes/Peach-s-Revenge-90749.html
2024,Her Confession,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Her-Confession-96864.html
2024,Cashmere & Palo Santo,Donna Karan,https://www.fragrantica.com/perfume/Donna-Karan/Cashmere-Palo-Santo-90134.html
2024,Miami Nectar,Ellis Brooklyn,https://www.fragrantica.com/perfume/Ellis-Brooklyn/Miami-Nectar-92112.html
2024,Qaa'ed Intense,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qaa-ed-Intense-90438.html
2024,Aqua Allegoria Florabloom Forte,Guerlain,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Florabloom-Forte-89855.html
2024,Black Lacquer,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Black-Lacquer-95808.html
2024,Phantom Intense,Rabanne,https://www.fragrantica.com/perfume/Rabanne/Phantom-Intense-89717.html
2024,Olympéa Parfum,Rabanne,https://www.fragrantica.com/perfume/Rabanne/Olympea-Parfum-90432.html
2024,Q by Dolce & Gabbana Eau de Parfum Intense,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/Q-by-Dolce-Gabbana-Eau-de-Parfum-Intense-89376.html
2024,New Look 2024,Dior,https://www.fragrantica.com/perfume/Dior/New-Look-2024-88939.html
2024,Al Nashama,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Al-Nashama-89762.html
2024,Maui in a Bottle Sweet Banana | 37 Eau de Parfum,Kayali Fragrances,https://www.fragrantica.com/perfume/Kayali-Fragrances/Maui-in-a-Bottle-Sweet-Banana-37-Eau-de-Parfum-94205.html
2024,Born in Roma the Gold Donna,Valentino,https://www.fragrantica.com/perfume/Valentino/Born-in-Roma-the-Gold-Donna-95704.html
2024,Centaurus,Creed,https://www.fragrantica.com/perfume/Creed/Centaurus-95601.html
2024,Amber Vanilla,The 7 Virtues,https://www.fragrantica.com/perfume/The-7-Virtues/Amber-Vanilla-90294.html
2024,Maraschino,Sospiro Perfumes,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Maraschino-89902.html
2024,You Doux,Glossier,https://www.fragrantica.com/perfume/Glossier/You-Doux-97605.html
2024,A*Men Fantasm,Mugler,https://www.fragrantica.com/perfume/Mugler/A-Men-Fantasm-93266.html
2024,Capri in a Bottle Lemon Sugar | 14 Eau de Parfum,Kayali Fragrances,https://www.fragrantica.com/perfume/Kayali-Fragrances/Capri-in-a-Bottle-Lemon-Sugar-14-Eau-de-Parfum-94204.html
2024,Oud Cadenza,Maison Crivelli,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Cadenza-95195.html
2024,Guilty Crush,The House of Oud,https://www.fragrantica.com/perfume/The-House-of-Oud/Guilty-Crush-91034.html
2024,Hero Parfum,Burberry,https://www.fragrantica.com/perfume/Burberry/Hero-Parfum-90069.html
2024,Âme Du Coeur,Les Liquides Imaginaires,https://www.fragrantica.com/perfume/Les-Liquides-Imaginaires/Ame-Du-Coeur-89907.html
2024,Sweet Tooth Cherry Baby,Sabrina Carpenter,https://www.fragrantica.com/perfume/Sabrina-Carpenter/Sweet-Tooth-Cherry-Baby-95861.html
2024,Legend Blue,Montblanc,https://www.fragrantica.com/perfume/Montblanc/Legend-Blue-90137.html
2024,Salted Muse,Orebella,https://www.fragrantica.com/perfume/Orebella/Salted-Muse-92427.html
2024,Delphinus,Creed,https://www.fragrantica.com/perfume/Creed/Delphinus-95970.html
