Year,Perfume Name,Brand,Link
2021,Sauvage Elixir,Dior,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html
2021,Asad,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html
2021,Imagination,Louis Vuitton,https://www.fragrantica.com/perfume/Louis-Vuitton/Imagination-67370.html
2021,The Most Wanted,Azzaro,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-66826.html
2021,Eilish,Billie Eilish,https://www.fragrantica.com/perfume/Billie-Eilish/Eilish-70052.html
2021,Torino21,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Torino21-70424.html
2021,Emporio Armani Stronger With You Absolutely,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html
2021,Blanche Bête,Les Liquides Imaginaires,https://www.fragrantica.com/perfume/Les-Liquides-Imaginaires/Blanche-Bete-70189.html
2021,Alien Goddess,Mugler,https://www.fragrantica.com/perfume/Mugler/Alien-Goddess-68354.html
2021,Scandal Pour Homme,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-68074.html
2021,L'Interdit Eau de Parfum Rouge,Givenchy,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-Rouge-68404.html
2021,Turathi Blue,Afnan,https://www.fragrantica.com/perfume/Afnan/Turathi-Blue-70839.html
2021,Ameer Al Oudh Intense Oud,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Ameer-Al-Oudh-Intense-Oud-64947.html
2021,Musk Therapy,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Musk-Therapy-66097.html
2021,Y Le Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Le-Parfum-64718.html
2021,Hibiscus Mahajád,Maison Crivelli,https://www.fragrantica.com/perfume/Maison-Crivelli/Hibiscus-Mahajad-69069.html
2021,La Belle Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/La-Belle-Le-Parfum-65175.html
2021,Oriana,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Oriana-69117.html
2021,Détour Noir,Al Haramain Perfumes,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Detour-Noir-70748.html
2021,Italica (2021),Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Italica-2021-65383.html
2021,Very Good Girl,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Very-Good-Girl-65560.html
2021,Tony Iommi Monkey Special,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Tony-Iommi-Monkey-Special-70789.html
2021,Intense Cedrat Boise,Mancera,https://www.fragrantica.com/perfume/Mancera/Intense-Cedrat-Boise-72796.html
2021,Apple Brandy on the Rocks,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Apple-Brandy-on-the-Rocks-68326.html
2021,Miss Dior Eau de Parfum (2021),Dior,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Eau-de-Parfum-2021-68905.html
2021,Haltane,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Haltane-70776.html
2021,Milk,Commodity,https://www.fragrantica.com/perfume/Commodity/Milk-69191.html
2021,Flora Gorgeous Gardenia,Gucci,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-68578.html
2021,La Nuit de L'Homme Bleu Électrique,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-L-Homme-Bleu-Electrique-67997.html
2021,Luna Rossa Ocean,Prada,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-Ocean-68753.html
2021,Cheirosa '40,Sol de Janeiro,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Cheirosa-40-67527.html
2021,Supremacy Not Only Intense,Afnan,https://www.fragrantica.com/perfume/Afnan/Supremacy-Not-Only-Intense-68271.html
2021,The Ghost In The Shell,Etat Libre d'Orange,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/The-Ghost-In-The-Shell-69412.html
2021,Orphéon Eau de Parfum,Diptyque,https://www.fragrantica.com/perfume/Diptyque/Orpheon-Eau-de-Parfum-65738.html
2021,Phantom,Rabanne,https://www.fragrantica.com/perfume/Rabanne/Phantom-68226.html
2021,Vanilla Diorama,Dior,https://www.fragrantica.com/perfume/Dior/Vanilla-Diorama-68198.html
2021,Eden Juicy Apple | 01 Eau De Parfum,Kayali Fragrances,https://www.fragrantica.com/perfume/Kayali-Fragrances/Eden-Juicy-Apple-01-Eau-De-Parfum-70875.html
