Year,Perfume Name,Brand,Link
2022,Khamrah,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html
2022,Le Beau Le Parfum,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html
2022,Gentleman Eau de Parfum Reserve Privée,Givenchy,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html
2022,The Most Wanted Parfum,Azzaro,https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html
2022,Prada Paradoxe,Prada,https://www.fragrantica.com/perfume/Prada/Prada-Paradoxe-75668.html
2022,Tonka Cola,Mancera,https://www.fragrantica.com/perfume/Mancera/Tonka-Cola-76893.html
2022,Babycat,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Babycat-73149.html
2022,Burberry Her Elixir de Parfum,Burberry,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-Elixir-de-Parfum-75968.html
2022,Nebras,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Nebras-78560.html
2022,Valentino Uomo Born In Roma Coral Fantasy,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Coral-Fantasy-71761.html
2022,God of Fire,Stéphane Humbert Lucas 777,https://www.fragrantica.com/perfume/Stephane-Humbert-Lucas-777/God-of-Fire-72381.html
2022,Armani Code Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html
2022,Gris Charnel Extrait,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-Extrait-73645.html
2022,Fakhar Black,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Fakhar-Black-70465.html
2022,Libre Le Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-Le-Parfum-75676.html
2022,French Riviera,Mancera,https://www.fragrantica.com/perfume/Mancera/French-Riviera-74636.html
