Year,Perfume Name,Brand,Link
2023,Le Male Elixir,Jean Paul Gaultier,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html
2023,Goddess,Burberry,https://www.fragrantica.com/perfume/Burberry/Goddess-83483.html
2023,Devotion,Dolce&Gabbana,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html
2023,Valentino Uomo Born In Roma Intense,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html
2023,Althaïr,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html
2023,MYSLF Eau de Parfum,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/MYSLF-Eau-de-Parfum-84094.html
2023,Guidance,Amouage,https://www.fragrantica.com/perfume/Amouage/Guidance-78656.html
2023,Khamrah Qahwa,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Qahwa-88175.html
2023,Yum Pistachio Gelato | 33,Kayali Fragrances,https://www.fragrantica.com/perfume/Kayali-Fragrances/Yum-Pistachio-Gelato-33-79846.html
2023,Amore Caffè,Mancera,https://www.fragrantica.com/perfume/Mancera/Amore-Caffe-87409.html
2023,Bade'e Al Oud Honor & Glory,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Honor-Glory-84302.html
2023,Acqua di Giò Parfum,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html
2023,Good Girl Blush,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-Blush-78576.html
2023,Oud Maracujá,Maison Crivelli,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Maracuja-83842.html
2023,Vanilla Sex,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Vanilla-Sex-88588.html
2023,Invictus Victory Elixir,Rabanne,https://www.fragrantica.com/perfume/Rabanne/Invictus-Victory-Elixir-78575.html
2023,Valaya,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Valaya-78574.html
