Year,Perfume Name,Brand,Link
2016,Layton,Parfums de Marly,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html
2016,Versace Pour Homme Dylan Blue,Versace,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-Dylan-Blue-40031.html
2016,Grand Soir,Maison Francis Kurkdjian,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html
2016,Good Girl,Carolina Herrera,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-39681.html
2016,Prada L'Homme,Prada,https://www.fragrantica.com/perfume/Prada/Prada-L-Homme-39029.html
2016,Side Effect,Initio Parfums Prives,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html
2016,Legend Spirit,Montblanc,https://www.fragrantica.com/perfume/Montblanc/Legend-Spirit-33443.html
2016,Soleil Blanc,Tom Ford,https://www.fragrantica.com/perfume/Tom-Ford/Soleil-Blanc-34893.html
2016,Qaed Al Fursan,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qaed-Al-Fursan-67996.html
2016,L’Homme Ideal Eau de Parfum,Guerlain,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Eau-de-Parfum-37735.html
2016,This is Her,Zadig & Voltaire,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Her-39358.html
2016,Hundred Silent Ways,Nishane,https://www.fragrantica.com/perfume/Nishane/Hundred-Silent-Ways-37602.html
2016,Mon Paris,Yves Saint Laurent,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Mon-Paris-38914.html
2016,Aoud Lemon Mint,Mancera,https://www.fragrantica.com/perfume/Mancera/Aoud-Lemon-Mint-39181.html
2016,Myrrh & Tonka,Jo Malone London,https://www.fragrantica.com/perfume/Jo-Malone-London/Myrrh-Tonka-42027.html
2016,Baraonda,Nasomatto,https://www.fragrantica.com/perfume/Nasomatto/Baraonda-40200.html
2016,Sweet Like Candy,Ariana Grande,https://www.fragrantica.com/perfume/Ariana-Grande/Sweet-Like-Candy-39970.html
2016,Erba Gold,Xerjoff,https://www.fragrantica.com/perfume/Xerjoff/Erba-Gold-76683.html
2016,Valentino Uomo Intense,Valentino,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Intense-38254.html
2016,Moonlight in Heaven,By Kilian,https://www.fragrantica.com/perfume/By-Kilian/Moonlight-in-Heaven-35973.html
2016,Narciso Poudree,Narciso Rodriguez,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Poudree-36679.html
2016,Tygar,Bvlgari,https://www.fragrantica.com/perfume/Bvlgari/Tygar-41222.html
2016,Fan Your Flames,Nishane,https://www.fragrantica.com/perfume/Nishane/Fan-Your-Flames-37603.html
2016,Poison Girl,Dior,https://www.fragrantica.com/perfume/Dior/Poison-Girl-35561.html
2016,Coco Vanille,Mancera,https://www.fragrantica.com/perfume/Mancera/Coco-Vanille-42782.html
2016,Pacific Rock Moss,Goldfield & Banks Australia,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Pacific-Rock-Moss-44120.html
2016,Mmmm...,Juliette Has A Gun,https://www.fragrantica.com/perfume/Juliette-Has-A-Gun/Mmmm-40461.html
2016,Marfa,Memo Paris,https://www.fragrantica.com/perfume/Memo-Paris/Marfa-37185.html
2016,Ana Abiyedh Rouge,Lattafa Perfumes,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Ana-Abiyedh-Rouge-63062.html
2016,Khaltat Night,Attar Collection,https://www.fragrantica.com/perfume/Attar-Collection/Khaltat-Night-38133.html
2016,Skin,Clean,https://www.fragrantica.com/perfume/Clean/Skin-35244.html
2016,Wanted,Azzaro,https://www.fragrantica.com/perfume/Azzaro/Wanted-38686.html
2016,The Tragedy of Lord George,Penhaligon's,https://www.fragrantica.com/perfume/Penhaligon-s/The-Tragedy-of-Lord-George-40716.html
2016,Coromandel Eau de Parfum,Chanel,https://www.fragrantica.com/perfume/Chanel/Coromandel-Eau-de-Parfum-41783.html
2016,Pas Сe Soir,BDK Parfums,https://www.fragrantica.com/perfume/BDK-Parfums/Pas-Se-Soir-39470.html
2016,Chanel No 5 L'Eau,Chanel,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-L-Eau-38543.html
2016,Luna,Penhaligon's,https://www.fragrantica.com/perfume/Penhaligon-s/Luna-38351.html
2016,Holidays,Mancera,https://www.fragrantica.com/perfume/Mancera/Holidays-42888.html
2016,1 Million Privé,Rabanne,https://www.fragrantica.com/perfume/Rabanne/1-Million-Prive-37698.html
2016,Casablanca,Swiss Arabian,https://www.fragrantica.com/perfume/Swiss-Arabian/Casablanca-42181.html
2016,Sicily,Mancera,https://www.fragrantica.com/perfume/Mancera/Sicily-42670.html
2016,Angel Muse,Mugler,https://www.fragrantica.com/perfume/Mugler/Angel-Muse-36416.html
2016,Miss Dior Absolutely Blooming,Dior,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Absolutely-Blooming-39070.html
2016,L'Aventure,Al Haramain Perfumes,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/L-Aventure-40405.html
2016,Armani Code Profumo,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Profumo-34761.html
2016,Intense Oud,Gucci,https://www.fragrantica.com/perfume/Gucci/Intense-Oud-32743.html
2016,Seminalis,Orto Parisi,https://www.fragrantica.com/perfume/Orto-Parisi/Seminalis-38293.html
2016,Polo Blue Eau de Parfum,Ralph Lauren,https://www.fragrantica.com/perfume/Ralph-Lauren/Polo-Blue-Eau-de-Parfum-38051.html
2016,Armani Prive Rouge Malachite,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rouge-Malachite-34589.html
2016,This is Him,Zadig & Voltaire,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Him-39359.html
